DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADCDeviceName(Current)
DEVICE,1655361126190,1655361126192,4,1655361126192,43,4,5,0,0,0
DEVICE,1655361126222,1655361126224,4,1655361126224,41,4,5,0,0,0
DEVICE,1655361126254,1655361126256,4,1655361126256,40,4,5,0,0,0
DEVICE,1655361126286,1655361126288,4,1655361126288,40,4,5,0,0,0
DEVICE,1655361126319,1655361126321,4,1655361126321,41,4,5,0,0,0
DEVICE,1655361126350,1655361126352,4,1655361126352,43,4,5,0,0,0
DEVICE,1655361126382,1655361126384,4,1655361126384,41,4,5,0,0,0
DEVICE,1655361126415,1655361126417,4,1655361126417,42,4,5,0,0,0
DEVICE,1655361126447,1655361126449,4,1655361126449,42,4,5,0,0,0
DEVICE,1655361126462,1655361126464,4,1655361126464,44,4,5,0,0,0
DEVICE,1655361126494,1655361126496,4,1655361126496,45,4,5,0,0,0
DEVICE,1655361126526,1655361126528,4,1655361126528,44,4,5,0,0,0
DEVICE,1655361126558,1655361126560,4,1655361126560,42,4,5,0,0,0
DEVICE,1655361126590,1655361126592,4,1655361126592,43,4,5,0,0,0
DEVICE,1655361126622,1655361126624,4,1655361126624,39,3,5,0,0,0
DEVICE,1655361126654,1655361126656,4,1655361126656,43,4,5,0,0,0
DEVICE,1655361126686,1655361126688,4,1655361126688,44,4,5,0,0,0
DEVICE,1655361126717,1655361126719,4,1655361126719,41,4,5,0,0,0
DEVICE,1655361126750,1655361126752,4,1655361126752,42,4,5,0,0,0
DEVICE,1655361126782,1655361126784,4,1655361126784,43,4,5,0,0,0
DEVICE,1655361126814,1655361126816,4,1655361126816,42,4,5,0,0,0
DEVICE,1655361126846,1655361126848,4,1655361126848,44,4,5,0,0,0
DEVICE,1655361126878,1655361126880,4,1655361126880,41,4,5,0,0,0
DEVICE,1655361126910,1655361126912,4,1655361126912,44,4,5,0,0,0
DEVICE,1655361126941,1655361126943,4,1655361126943,42,4,5,0,0,0
DEVICE,1655361126973,1655361126975,4,1655361126975,44,4,5,0,0,0
DEVICE,1655361127006,1655361127008,4,1655361127008,45,4,5,0,0,0
DEVICE,1655361127038,1655361127040,4,1655361127040,42,4,5,0,0,0
DEVICE,1655361127070,1655361127072,4,1655361127072,43,4,5,0,0,0
DEVICE,1655361127102,1655361127104,4,1655361127104,42,4,5,0,0,0
DEVICE,1655361127134,1655361127136,4,1655361127136,43,4,5,0,0,0
DEVICE,1655361127166,1655361127168,4,1655361127168,42,4,5,0,0,0
DEVICE,1655361127198,1655361127200,4,1655361127200,44,4,5,0,0,0
DEVICE,1655361127230,1655361127232,4,1655361127232,45,4,5,0,0,0
DEVICE,1655361127261,1655361127263,4,1655361127263,44,4,5,0,0,0
DEVICE,1655361127294,1655361127296,4,1655361127296,42,4,5,0,0,0
DEVICE,1655361127326,1655361127328,4,1655361127328,42,4,5,0,0,0
DEVICE,1655361127358,1655361127360,4,1655361127360,42,4,5,0,0,0
DEVICE,1655361127390,1655361127392,4,1655361127392,43,4,5,0,0,0
DEVICE,1655361127422,1655361127424,4,1655361127424,44,4,5,0,0,0
DEVICE,1655361127454,1655361127456,4,1655361127456,44,4,5,0,0,0
DEVICE,1655361127486,1655361127488,4,1655361127488,45,4,5,0,0,0
DEVICE,1655361127517,1655361127519,4,1655361127519,43,4,5,0,0,0
DEVICE,1655361127550,1655361127552,4,1655361127552,43,4,5,0,0,0
DEVICE,1655361127582,1655361127584,4,1655361127584,43,4,5,0,0,0
DEVICE,1655361127614,1655361127616,4,1655361127616,43,4,5,0,0,0
DEVICE,1655361127646,1655361127648,4,1655361127648,42,4,5,0,0,0
DEVICE,1655361127678,1655361127680,4,1655361127680,44,4,5,0,0,0
DEVICE,1655361127709,1655361127711,4,1655361127711,43,4,5,0,0,0
DEVICE,1655361127741,1655361127743,4,1655361127743,44,4,5,0,0,0
DEVICE,1655361127773,1655361127775,4,1655361127775,42,4,5,0,0,0
DEVICE,1655361127806,1655361127808,4,1655361127808,45,4,5,0,0,0
DEVICE,1655361127838,1655361127840,4,1655361127840,42,4,5,0,0,0
DEVICE,1655361127870,1655361127872,4,1655361127872,43,4,5,0,0,0
DEVICE,1655361127901,1655361127903,4,1655361127903,43,4,5,0,0,0
DEVICE,1655361127933,1655361127935,4,1655361127935,44,4,5,0,0,0
DEVICE,1655361127966,1655361127968,4,1655361127968,40,4,5,0,0,0
DEVICE,1655361127997,1655361127999,4,1655361127999,41,4,5,0,0,0
DEVICE,1655361128029,1655361128031,4,1655361128031,43,4,5,0,0,0
DEVICE,1655361128062,1655361128064,4,1655361128064,44,4,5,0,0,0
DEVICE,1655361128094,1655361128096,4,1655361128096,43,4,5,0,0,0
DEVICE,1655361128125,1655361128127,4,1655361128127,45,4,5,0,0,0
